Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_MRP_Categories
DRI23,18.85,Low_Fat,0.13747519,Drink,158.6578,OUT045,2002,Small,Tier 2,Supermarket Type1,3369.6138,151-200
FDU24,6.78,Regular,0.140163038,Food,94.212,OUT046,1997,Small,Tier 1,Supermarket Type1,1025.332,51-100
NCF31,9.13,Non_Edible,0.090778148,Non_Consumable,153.1024,OUT019,1985,Small,Tier 1,Grocery Store,303.6048,151-200
FDL21,15.85,Regular,0.007146415,Food,41.048,OUT046,1997,Small,Tier 1,Supermarket Type1,798.96,0-50
FDW45,18.0,Low_Fat,0.038822077,Food,147.7418,OUT027,1985,Medium,Tier 3,Supermarket Type3,1618.5598,101-150
NCC18,19.1,Non_Edible,0.177992139,Non_Consumable,173.1422,OUT018,2009,Medium,Tier 3,Supermarket Type2,2931.5174,151-200
FDQ20,8.325,Low_Fat,0.029779207,Food,39.3138,OUT035,2004,Small,Tier 2,Supermarket Type1,974.7312,0-50
FDS57,15.5,Low_Fat,0.103442268,Food,144.847,OUT046,1997,Small,Tier 1,Supermarket Type1,2433.499,101-150
FDG58,10.695,Regular,0.087272074,Food,153.7972,OUT017,2007,Small,Tier 2,Supermarket Type1,2025.3636,151-200
DRJ23,18.35,Low_Fat,0.0,Drink,188.1872,OUT027,1985,Medium,Tier 3,Supermarket Type3,3214.4824,151-200
DRI03,6.03,Low_Fat,0.039751236,Drink,176.9028,OUT019,1985,Small,Tier 1,Grocery Store,708.4112,151-200
FDT11,5.94,Regular,0.029366813,Food,187.7556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,151-200
NCI43,19.85,Non_Edible,0.025842951,Non_Consumable,48.6376,OUT027,1985,Medium,Tier 3,Supermarket Type3,1677.816,0-50
FDX35,5.035,Regular,0.139913045,Food,227.9036,OUT019,1985,Small,Tier 1,Grocery Store,455.4072,201-250
FDA11,12.8,Low_Fat,0.043029436,Food,94.7436,OUT027,1985,Medium,Tier 3,Supermarket Type3,1701.7848,51-100
NCW30,5.21,Non_Edible,0.011072173,Non_Consumable,257.8962,OUT017,2007,Small,Tier 2,Supermarket Type1,4402.9354,
FDV23,11.0,Low_Fat,0.106051405,Food,124.4046,OUT045,2002,Small,Tier 2,Supermarket Type1,2241.0828,101-150
FDW59,13.15,Low_Fat,0.03627089,Food,85.9566,OUT019,1985,Small,Tier 1,Grocery Store,169.1132,51-100
FDE46,18.6,Low_Fat,0.015766712,Food,152.9366,OUT035,2004,Small,Tier 2,Supermarket Type1,1662.5026,151-200
DRI47,14.7,Low_Fat,0.02090277,Drink,144.5128,OUT013,1987,High,Tier 3,Supermarket Type1,3307.6944,101-150
FDB60,9.3,Low_Fat,0.04774013,Food,195.0136,OUT010,1998,Small,Tier 3,Grocery Store,194.4136,151-200
NCL29,9.695,Non_Edible,0.114170506,Non_Consumable,158.9604,OUT045,2002,Small,Tier 2,Supermarket Type1,1743.0644,151-200
FDW32,18.35,Regular,0.094279004,Food,86.3882,OUT035,2004,Small,Tier 2,Supermarket Type1,1545.9876,51-100
NCO42,21.25,Non_Edible,0.024693927,Non_Consumable,144.1102,OUT049,1999,Medium,Tier 1,Supermarket Type1,1749.7224,101-150
FDN57,18.25,Low_Fat,0.054223942,Food,142.0154,OUT035,2004,Small,Tier 2,Supermarket Type1,2127.231,101-150
FDM34,19.0,Low_Fat,0.067722325,Food,130.8626,OUT018,2009,Medium,Tier 3,Supermarket Type2,1573.9512,101-150
FDO58,19.6,Low_Fat,0.039385518,Food,164.8526,OUT027,1985,Medium,Tier 3,Supermarket Type3,2631.2416,151-200
FDE28,9.5,Regular,0.232072674,Food,229.4668,OUT019,1985,Small,Tier 1,Grocery Store,460.7336,201-250
FDW12,8.315,Regular,0.059540542,Food,143.6444,OUT010,1998,Small,Tier 3,Grocery Store,145.1444,101-150
FDM34,19.0,Low_Fat,0.067447572,Food,132.9626,OUT046,1997,Small,Tier 1,Supermarket Type1,1967.439,101-150
FDE29,8.905,Low_Fat,0.143351652,Food,62.0878,OUT049,1999,Medium,Tier 1,Supermarket Type1,302.939,51-100
FDZ09,17.6,Low_Fat,0.104878967,Food,164.8868,OUT046,1997,Small,Tier 1,Supermarket Type1,2456.802,151-200
FDC08,19.0,Regular,0.104035148,Food,227.772,OUT017,2007,Small,Tier 2,Supermarket Type1,5206.556,201-250
NCL55,12.15,Non_Edible,0.06464846,Non_Consumable,253.404,OUT035,2004,Small,Tier 2,Supermarket Type1,4807.076,
FDC44,15.6,Low_Fat,0.171761077,Food,115.7518,OUT027,1985,Medium,Tier 3,Supermarket Type3,5351.0346,101-150
FDA08,11.85,Regular,0.050186726,Food,164.1526,OUT045,2002,Small,Tier 2,Supermarket Type1,3124.5994,151-200
DRP35,18.85,Low_Fat,0.091008572,Drink,129.6336,OUT049,1999,Medium,Tier 1,Supermarket Type1,3195.84,101-150
FDF53,20.75,Regular,0.083736551,Food,178.7318,OUT049,1999,Medium,Tier 1,Supermarket Type1,3428.2042,151-200
FDK45,11.65,Low_Fat,0.034049703,Food,112.286,OUT017,2007,Small,Tier 2,Supermarket Type1,452.744,101-150
NCP29,8.42,Non_Edible,0.112177581,Non_Consumable,65.9168,OUT013,1987,High,Tier 3,Supermarket Type1,958.752,51-100
FDM02,12.5,Regular,0.12341737,Food,86.0198,OUT010,1998,Small,Tier 3,Grocery Store,87.2198,51-100
NCS42,8.6,Non_Edible,0.069403341,Non_Consumable,91.2146,OUT035,2004,Small,Tier 2,Supermarket Type1,2554.0088,51-100
DRE60,9.395,Low_Fat,0.159657596,Drink,224.972,OUT045,2002,Small,Tier 2,Supermarket Type1,7696.648,201-250
DRG23,8.88,Low_Fat,0.086781204,Drink,152.2682,OUT046,1997,Small,Tier 1,Supermarket Type1,1829.6184,151-200
NCA42,6.965,Non_Edible,0.0,Non_Consumable,159.6604,OUT045,2002,Small,Tier 2,Supermarket Type1,3327.6684,151-200
FDJ58,15.6,Regular,0.105296072,Food,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,151-200
FDS48,15.15,Low_Fat,0.027774002,Food,152.3708,OUT035,2004,Small,Tier 2,Supermarket Type1,3159.8868,151-200
FDT04,17.25,Low_Fat,0.0,Food,40.8822,OUT018,2009,Medium,Tier 3,Supermarket Type2,628.5152,0-50
FDL57,15.1,Regular,0.067212845,Food,260.2304,OUT045,2002,Small,Tier 2,Supermarket Type1,4908.2776,
NCL53,7.5,Non_Edible,0.0,Non_Consumable,175.4028,OUT027,1985,Medium,Tier 3,Supermarket Type3,6729.9064,151-200
FDF05,17.5,Low_Fat,0.026865809,Food,261.691,OUT035,2004,Small,Tier 2,Supermarket Type1,4207.856,
NCN19,13.1,Non_Edible,0.0,Non_Consumable,189.253,OUT046,1997,Small,Tier 1,Supermarket Type1,1518.024,151-200
FDC50,15.85,Low_Fat,0.136497913,Food,96.3094,OUT046,1997,Small,Tier 1,Supermarket Type1,2856.282,51-100
FDA15,9.3,Low_Fat,0.016054884,Food,250.2092,OUT045,2002,Small,Tier 2,Supermarket Type1,5976.2208,
FDY27,6.38,Low_Fat,0.031743707,Food,179.1344,OUT027,1985,Medium,Tier 3,Supermarket Type3,1605.9096,151-200
DRH51,17.6,Low_Fat,0.097198194,Drink,89.8856,OUT035,2004,Small,Tier 2,Supermarket Type1,351.5424,51-100
FDK26,5.46,Regular,0.032242661,Food,187.624,OUT045,2002,Small,Tier 2,Supermarket Type1,3542.056,151-200
DRM23,16.6,Low_Fat,0.136286138,Drink,171.4422,OUT018,2009,Medium,Tier 3,Supermarket Type2,2241.7486,151-200
FDX21,7.05,Low_Fat,0.084554569,Food,109.8912,OUT027,1985,Medium,Tier 3,Supermarket Type3,2074.6328,101-150
DRI25,19.6,Low_Fat,0.033970195,Drink,55.1614,OUT045,2002,Small,Tier 2,Supermarket Type1,1381.535,51-100
NCR30,20.6,Non_Edible,0.118827682,Non_Consumable,75.0696,OUT010,1998,Small,Tier 3,Grocery Store,149.1392,51-100
DRE25,15.35,Low_Fat,0.072928316,Drink,94.412,OUT027,1985,Medium,Tier 3,Supermarket Type3,1304.968,51-100
DRE25,15.35,Low_Fat,0.073397129,Drink,91.912,OUT049,1999,Medium,Tier 1,Supermarket Type1,2609.936,51-100
FDB45,20.85,Low_Fat,0.021416681,Food,104.6306,OUT018,2009,Medium,Tier 3,Supermarket Type2,1149.8366,101-150
NCP43,17.75,Non_Edible,0.053413906,Non_Consumable,181.766,OUT019,1985,Small,Tier 1,Grocery Store,179.766,151-200
FDS56,5.785,Regular,0.064871045,Food,262.1252,OUT010,1998,Small,Tier 3,Grocery Store,786.9756,
FDO10,13.65,Regular,0.021343732,Food,58.3588,OUT010,1998,Small,Tier 3,Grocery Store,114.5176,51-100
FDC50,15.85,Low_Fat,0.137053947,Food,94.4094,OUT018,2009,Medium,Tier 3,Supermarket Type2,1047.3034,51-100
NCK53,11.6,Non_Edible,0.037581243,Non_Consumable,98.9042,OUT046,1997,Small,Tier 1,Supermarket Type1,1488.063,51-100
FDZ44,8.185,Low_Fat,0.038789271,Food,115.6808,OUT049,1999,Medium,Tier 1,Supermarket Type1,703.0848,101-150
NCL31,7.389999999999999,Non_Edible,0.210596485,Non_Consumable,144.747,OUT019,1985,Small,Tier 1,Grocery Store,143.147,101-150
DRD13,15.0,Low_Fat,0.049279392,Drink,65.7168,OUT018,2009,Medium,Tier 3,Supermarket Type2,575.2512,51-100
FDI07,12.35,Regular,0.033760862,Food,196.9426,OUT046,1997,Small,Tier 1,Supermarket Type1,5141.3076,151-200
FDO56,10.195,Regular,0.045165796,Food,118.4808,OUT018,2009,Medium,Tier 3,Supermarket Type2,1640.5312,101-150
FDY15,18.25,Regular,0.17179432,Food,154.663,OUT017,2007,Small,Tier 2,Supermarket Type1,2659.871,151-200
FDD40,20.25,Regular,0.014721719,Food,193.6162,OUT027,1985,Medium,Tier 3,Supermarket Type3,5195.2374,151-200
FDX57,17.25,Regular,0.047458754,Food,95.8068,OUT018,2009,Medium,Tier 3,Supermarket Type2,1263.6884,51-100
FDU32,8.785,Low_Fat,0.0,Food,120.5414,OUT013,1987,High,Tier 3,Supermarket Type1,1583.9382,101-150
FDF47,20.85,Low_Fat,0.097536998,Food,225.3746,OUT013,1987,High,Tier 3,Supermarket Type1,3365.619,201-250
NCB55,15.7,Non_Edible,0.16098885,Non_Consumable,57.8562,OUT045,2002,Small,Tier 2,Supermarket Type1,651.8182,51-100
FDF52,9.3,Low_Fat,0.066918731,Food,184.2292,OUT045,2002,Small,Tier 2,Supermarket Type1,1641.8628,151-200
FDT60,12.0,Low_Fat,0.075975642,Food,124.1388,OUT017,2007,Small,Tier 2,Supermarket Type1,1486.0656,101-150
NCQ38,16.35,Non_Edible,0.013363902,Non_Consumable,106.128,OUT035,2004,Small,Tier 2,Supermarket Type1,1917.504,101-150
FDC57,20.1,Regular,0.054549098,Food,193.782,OUT013,1987,High,Tier 3,Supermarket Type1,1158.492,151-200
NCZ42,10.5,Non_Edible,0.0,Non_Consumable,238.3248,OUT010,1998,Small,Tier 3,Grocery Store,711.0744,201-250
FDY55,16.75,Low_Fat,0.0,Food,258.3988,OUT019,1985,Small,Tier 1,Grocery Store,256.9988,
FDK03,12.6,Regular,0.074221559,Food,255.9356,OUT018,2009,Medium,Tier 3,Supermarket Type2,4832.3764,
FDB11,16.0,Low_Fat,0.060836524,Food,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312,201-250
FDQ01,19.7,Regular,0.161356273,Food,253.1014,OUT018,2009,Medium,Tier 3,Supermarket Type2,2805.0154,
FDJ60,19.35,Regular,0.062528426,Food,166.9184,OUT046,1997,Small,Tier 1,Supermarket Type1,3302.368,151-200
FDB21,7.475,Low_Fat,0.149125615,Food,241.6854,OUT018,2009,Medium,Tier 3,Supermarket Type2,6042.135,201-250
FDV01,19.2,Regular,0.085122855,Food,155.4314,OUT045,2002,Small,Tier 2,Supermarket Type1,3568.0222,151-200
FDV28,16.1,Regular,0.0,Food,35.1558,OUT017,2007,Small,Tier 2,Supermarket Type1,339.558,0-50
NCP02,7.105,Non_Edible,0.044771473,Non_Consumable,58.2562,OUT013,1987,High,Tier 3,Supermarket Type1,592.562,51-100
FDL27,6.17,Low_Fat,0.010652508,Food,65.6826,OUT045,2002,Small,Tier 2,Supermarket Type1,774.9912,51-100
NCF43,8.51,Non_Edible,0.052239735,Non_Consumable,141.947,OUT017,2007,Small,Tier 2,Supermarket Type1,2004.058,101-150
FDZ28,20.0,Regular,0.051783761,Food,125.8678,OUT017,2007,Small,Tier 2,Supermarket Type1,3433.5306,101-150
FDT26,18.85,Regular,0.067953506,Food,119.044,OUT046,1997,Small,Tier 1,Supermarket Type1,2396.88,101-150
NCR18,15.85,Non_Edible,0.020571083,Non_Consumable,41.6112,OUT018,2009,Medium,Tier 3,Supermarket Type2,255.6672,0-50
FDX01,10.1,Low_Fat,0.024047319,Food,115.515,OUT027,1985,Medium,Tier 3,Supermarket Type3,1980.755,101-150
FDV04,7.825,Regular,0.149288779,Food,158.4288,OUT027,1985,Medium,Tier 3,Supermarket Type3,2985.4472,151-200
NCW53,18.35,Non_Edible,0.030542489,Non_Consumable,193.1162,OUT049,1999,Medium,Tier 1,Supermarket Type1,2693.8268,151-200
FDF57,14.5,Regular,0.0,Food,169.6448,OUT035,2004,Small,Tier 2,Supermarket Type1,2045.3376,151-200
FDV39,11.3,Low_Fat,0.007273831,Food,196.6426,OUT013,1987,High,Tier 3,Supermarket Type1,5141.3076,151-200
FDE05,10.895,Regular,0.0,Food,145.2102,OUT019,1985,Small,Tier 1,Grocery Store,437.4306,101-150
FDX57,17.25,Regular,0.0,Food,95.2068,OUT013,1987,High,Tier 3,Supermarket Type1,2721.7904,51-100
FDA40,16.0,Regular,0.099252438,Food,87.4856,OUT035,2004,Small,Tier 2,Supermarket Type1,1054.6272,51-100
FDL48,19.35,Regular,0.082394321,Food,48.5034,OUT049,1999,Medium,Tier 1,Supermarket Type1,243.017,0-50
NCQ50,18.75,Non_Edible,0.034360687,Non_Consumable,215.7218,OUT049,1999,Medium,Tier 1,Supermarket Type1,4274.436,201-250
FDD04,16.0,Low_Fat,0.157528118,Food,142.9154,OUT019,1985,Small,Tier 1,Grocery Store,141.8154,101-150
FDM08,10.1,Regular,0.053584207,Food,224.4088,OUT046,1997,Small,Tier 1,Supermarket Type1,4697.8848,201-250
FDI28,14.3,Low_Fat,0.026428924,Food,78.2302,OUT018,2009,Medium,Tier 3,Supermarket Type2,554.6114,51-100
FDW40,14.0,Regular,0.105145451,Food,144.2812,OUT046,1997,Small,Tier 1,Supermarket Type1,4844.3608,101-150
FDB57,20.25,Regular,0.018801549,Food,222.1772,OUT035,2004,Small,Tier 2,Supermarket Type1,5559.43,201-250
FDD50,18.85,Low_Fat,0.141642219,Food,168.1132,OUT046,1997,Small,Tier 1,Supermarket Type1,2874.9244,151-200
FDA50,16.25,Low_Fat,0.087102593,Food,96.041,OUT013,1987,High,Tier 3,Supermarket Type1,868.869,51-100
FDS24,20.85,Regular,0.062477955,Food,87.2514,OUT018,2009,Medium,Tier 3,Supermarket Type2,1505.3738,51-100
FDX07,19.2,Regular,0.0,Food,184.595,OUT018,2009,Medium,Tier 3,Supermarket Type2,3844.995,151-200
FDL45,15.6,Low_Fat,0.037841362,Food,125.2704,OUT018,2009,Medium,Tier 3,Supermarket Type2,2628.5784,101-150
FDB50,13.0,Low_Fat,0.153930108,Food,76.7986,OUT045,2002,Small,Tier 2,Supermarket Type1,2648.5524,51-100
FDY03,17.6,Regular,0.133279499,Food,112.6202,OUT019,1985,Small,Tier 1,Grocery Store,675.1212,101-150
NCO54,19.5,Non_Edible,0.014205168,Non_Consumable,56.7614,OUT027,1985,Medium,Tier 3,Supermarket Type3,2486.763,51-100
FDU04,7.93,Low_Fat,0.0,Food,123.2414,OUT018,2009,Medium,Tier 3,Supermarket Type2,487.3656,101-150
FDL38,13.8,Regular,0.014793124,Food,88.5172,OUT018,2009,Medium,Tier 3,Supermarket Type2,2408.8644,51-100
NCL18,18.85,Non_Edible,0.168531813,Non_Consumable,192.5136,OUT017,2007,Small,Tier 2,Supermarket Type1,2916.204,151-200
NCX05,15.2,Non_Edible,0.097258937,Non_Consumable,114.8492,OUT045,2002,Small,Tier 2,Supermarket Type1,1506.0396,101-150
FDP16,18.6,Low_Fat,0.039294854,Food,246.6802,OUT046,1997,Small,Tier 1,Supermarket Type1,2702.4822,201-250
FDC35,7.435,Low_Fat,0.122837694,Food,208.7638,OUT046,1997,Small,Tier 1,Supermarket Type1,3105.957,201-250
FDL39,16.1,Regular,0.06358934,Food,179.4318,OUT018,2009,Medium,Tier 3,Supermarket Type2,360.8636,151-200
FDP32,6.65,Low_Fat,0.087652908,Food,128.8678,OUT035,2004,Small,Tier 2,Supermarket Type1,1398.8458,101-150
FDX04,19.6,Regular,0.04163619,Food,47.3376,OUT049,1999,Medium,Tier 1,Supermarket Type1,1150.5024,0-50
FDX20,7.365,Low_Fat,0.042733625,Food,226.972,OUT018,2009,Medium,Tier 3,Supermarket Type2,3848.324,201-250
FDI22,12.6,Low_Fat,0.095746519,Food,208.6612,OUT027,1985,Medium,Tier 3,Supermarket Type3,7317.142,201-250
FDB20,7.72,Low_Fat,0.052274691,Food,79.1986,OUT017,2007,Small,Tier 2,Supermarket Type1,778.986,51-100
FDC11,20.5,Low_Fat,0.142370445,Food,90.6172,OUT018,2009,Medium,Tier 3,Supermarket Type2,1427.4752,51-100
FDB57,20.25,Regular,0.01871404,Food,223.4772,OUT027,1985,Medium,Tier 3,Supermarket Type3,7116.0704,201-250
FDF46,7.07,Low_Fat,0.094201018,Food,115.8834,OUT017,2007,Small,Tier 2,Supermarket Type1,1036.6506,101-150
FDY51,12.5,Low_Fat,0.080741927,Food,220.8798,OUT027,1985,Medium,Tier 3,Supermarket Type3,6170.6344,201-250
FDD57,18.1,Low_Fat,0.022434418,Food,96.2094,OUT049,1999,Medium,Tier 1,Supermarket Type1,952.094,51-100
FDO27,6.175,Regular,0.178210285,Food,95.7752,OUT027,1985,Medium,Tier 3,Supermarket Type3,3930.8832,51-100
FDL24,10.3,Regular,0.024891881,Food,170.9422,OUT035,2004,Small,Tier 2,Supermarket Type1,3103.9596,151-200
FDX59,10.195,Low_Fat,0.051661272,Food,33.3558,OUT046,1997,Small,Tier 1,Supermarket Type1,848.895,0-50
FDI21,5.59,Regular,0.056602818,Food,63.2168,OUT046,1997,Small,Tier 1,Supermarket Type1,1725.7536,51-100
FDU21,11.8,Regular,0.076348933,Food,32.8558,OUT027,1985,Medium,Tier 3,Supermarket Type3,713.0718,0-50
NCO54,19.5,Non_Edible,0.014332439,Non_Consumable,57.1614,OUT018,2009,Medium,Tier 3,Supermarket Type2,1381.535,51-100
NCD42,16.5,Non_Edible,0.0,Non_Consumable,37.3506,OUT027,1985,Medium,Tier 3,Supermarket Type3,1024.6662,0-50
FDZ55,6.055,Low_Fat,0.025403898,Food,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464,151-200
NCR53,12.15,Non_Edible,0.242768664,Non_Consumable,226.5404,OUT010,1998,Small,Tier 3,Grocery Store,225.0404,201-250
FDP56,8.185,Low_Fat,0.046556408,Food,47.7692,OUT049,1999,Medium,Tier 1,Supermarket Type1,640.4996,0-50
FDU13,8.355,Low_Fat,0.0,Food,145.6418,OUT013,1987,High,Tier 3,Supermarket Type1,3384.2614,101-150
FDN49,17.25,Regular,0.125200788,Food,41.648,OUT035,2004,Small,Tier 2,Supermarket Type1,679.116,0-50
FDO52,11.6,Regular,0.077150004,Food,170.2106,OUT035,2004,Small,Tier 2,Supermarket Type1,1882.2166,151-200
FDU08,10.3,Low_Fat,0.027426689,Food,97.3042,OUT018,2009,Medium,Tier 3,Supermarket Type2,694.4294,51-100
FDS04,10.195,Regular,0.146960375,Food,142.2838,OUT045,2002,Small,Tier 2,Supermarket Type1,1685.8056,101-150
FDL34,16.0,Low_Fat,0.041112694,Food,139.9496,OUT018,2009,Medium,Tier 3,Supermarket Type2,3105.2912,101-150
NCM30,19.1,Non_Edible,0.066969525,Non_Consumable,39.2796,OUT027,1985,Medium,Tier 3,Supermarket Type3,701.7532,0-50
FDU37,9.5,Regular,0.104933928,Food,78.796,OUT018,2009,Medium,Tier 3,Supermarket Type2,1198.44,51-100
FDH35,18.25,Low_Fat,0.059956876,Food,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832,151-200
FDI60,7.22,Regular,0.0383808,Food,62.351,OUT049,1999,Medium,Tier 1,Supermarket Type1,885.514,51-100
FDQ60,12.8,Regular,0.191500528,Food,121.2098,OUT019,1985,Small,Tier 1,Grocery Store,120.5098,101-150
FDQ52,17.0,Low_Fat,0.119362409,Food,249.4434,OUT035,2004,Small,Tier 2,Supermarket Type1,5960.2416,201-250
NCM30,19.1,Non_Edible,0.067239404,Non_Consumable,39.6796,OUT013,1987,High,Tier 3,Supermarket Type1,660.4736,0-50
FDB10,10.0,Low_Fat,0.0674819,Food,234.859,OUT018,2009,Medium,Tier 3,Supermarket Type2,1181.795,201-250
NCK07,10.65,Non_Edible,0.048762383,Non_Consumable,165.2526,OUT049,1999,Medium,Tier 1,Supermarket Type1,3946.8624,151-200
FDO60,20.0,Low_Fat,0.0,Food,43.4086,OUT018,2009,Medium,Tier 3,Supermarket Type2,401.4774,0-50
DRL49,13.15,Low_Fat,0.056543464,Drink,140.5812,OUT045,2002,Small,Tier 2,Supermarket Type1,427.4436,101-150
FDO58,19.6,Low_Fat,0.039544237,Food,163.6526,OUT013,1987,High,Tier 3,Supermarket Type1,1151.1682,151-200
FDT27,11.395,Regular,0.069587171,Food,234.6616,OUT046,1997,Small,Tier 1,Supermarket Type1,4687.232,201-250
FDP24,20.6,Low_Fat,0.083133128,Food,120.1756,OUT049,1999,Medium,Tier 1,Supermarket Type1,1332.9316,101-150
FDW58,20.75,Low_Fat,0.007546808,Food,104.1622,OUT013,1987,High,Tier 3,Supermarket Type1,1693.7952,101-150
DRC27,13.8,Low_Fat,0.05843112,Drink,243.6802,OUT017,2007,Small,Tier 2,Supermarket Type1,1965.4416,201-250
DRF15,18.35,Low_Fat,0.0,Drink,151.934,OUT013,1987,High,Tier 3,Supermarket Type1,306.268,151-200
FDL58,5.78,Regular,0.07429945,Food,264.9568,OUT045,2002,Small,Tier 2,Supermarket Type1,1845.5976,
FDX58,13.15,Low_Fat,0.04376368,Food,183.095,OUT046,1997,Small,Tier 1,Supermarket Type1,1830.95,151-200
FDC33,8.96,Regular,0.069219165,Food,196.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,2759.0752,151-200
FDS15,9.195,Regular,0.078181964,Food,106.7596,OUT049,1999,Medium,Tier 1,Supermarket Type1,4098.6648,101-150
FDI34,10.65,Regular,0.085482761,Food,231.4668,OUT018,2009,Medium,Tier 3,Supermarket Type2,3225.1352,201-250
FDH41,9.0,Low_Fat,0.081614376,Food,214.7534,OUT027,1985,Medium,Tier 3,Supermarket Type3,5806.4418,201-250
DRA59,8.27,Regular,0.128126825,Drink,183.6924,OUT049,1999,Medium,Tier 1,Supermarket Type1,1295.6468,151-200
NCB18,19.6,Non_Edible,0.041091215,Non_Consumable,89.5514,OUT027,1985,Medium,Tier 3,Supermarket Type3,3364.9532,51-100
FDG44,6.13,Low_Fat,0.0,Food,54.1298,OUT046,1997,Small,Tier 1,Supermarket Type1,1348.245,51-100
FDD33,12.85,Low_Fat,0.0,Food,231.9642,OUT027,1985,Medium,Tier 3,Supermarket Type3,6970.926,201-250
FDR07,21.35,Low_Fat,0.078060605,Food,96.0094,OUT018,2009,Medium,Tier 3,Supermarket Type2,380.8376,51-100
FDN44,13.15,Low_Fat,0.022685222,Food,161.592,OUT027,1985,Medium,Tier 3,Supermarket Type3,4314.384,151-200
FDL12,15.85,Regular,0.121043709,Food,59.422,OUT027,1985,Medium,Tier 3,Supermarket Type3,1078.596,51-100
NCT53,13.05,Non_Edible,0.0,Non_Consumable,164.5526,OUT027,1985,Medium,Tier 3,Supermarket Type3,2302.3364,151-200
FDO15,16.75,Regular,0.008579863,Food,72.3038,OUT049,1999,Medium,Tier 1,Supermarket Type1,960.7494,51-100
NCM06,7.475,Non_Edible,0.126752975,Non_Consumable,154.2656,OUT010,1998,Small,Tier 3,Grocery Store,308.9312,151-200
NCN29,15.2,Non_Edible,0.0,Non_Consumable,47.8034,OUT049,1999,Medium,Tier 1,Supermarket Type1,437.4306,0-50
FDN27,20.85,Low_Fat,0.039370913,Food,116.9808,OUT027,1985,Medium,Tier 3,Supermarket Type3,3866.9664,101-150
FDX56,17.1,Regular,0.073997843,Food,207.0638,OUT013,1987,High,Tier 3,Supermarket Type1,4969.5312,201-250
FDT20,10.5,Low_Fat,0.041395445,Food,37.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296,0-50
NCM06,7.475,Non_Edible,0.076156245,Non_Consumable,156.4656,OUT017,2007,Small,Tier 2,Supermarket Type1,2008.0528,151-200
DRH37,17.6,Low_Fat,0.041700756,Drink,164.8526,OUT045,2002,Small,Tier 2,Supermarket Type1,2302.3364,151-200
FDC08,19.0,Regular,0.102949031,Food,225.272,OUT027,1985,Medium,Tier 3,Supermarket Type3,4753.812,201-250
NCD19,8.93,Non_Edible,0.0,Non_Consumable,55.4614,OUT045,2002,Small,Tier 2,Supermarket Type1,331.5684,51-100
FDT46,11.35,Low_Fat,0.051564827,Food,49.0008,OUT010,1998,Small,Tier 3,Grocery Store,101.2016,0-50
FDN03,9.8,Regular,0.015016891,Food,248.6408,OUT027,1985,Medium,Tier 3,Supermarket Type3,6759.2016,201-250
FDV37,13.0,Regular,0.139785104,Food,196.2426,OUT010,1998,Small,Tier 3,Grocery Store,197.7426,151-200
NCT41,15.7,Non_Edible,0.05610384,Non_Consumable,153.5024,OUT045,2002,Small,Tier 2,Supermarket Type1,2580.6408,151-200
FDA19,7.52,Low_Fat,0.0,Food,126.6994,OUT019,1985,Small,Tier 1,Grocery Store,256.9988,101-150
FDR35,12.5,Low_Fat,0.020729902,Food,197.2742,OUT049,1999,Medium,Tier 1,Supermarket Type1,3782.4098,151-200
FDC22,6.89,Regular,0.136314863,Food,195.082,OUT013,1987,High,Tier 3,Supermarket Type1,2703.148,151-200
NCD54,21.1,Non_Edible,0.028984804,Non_Consumable,146.1786,OUT013,1987,High,Tier 3,Supermarket Type1,3034.0506,101-150
NCD19,8.93,Non_Edible,0.013253936,Non_Consumable,56.4614,OUT017,2007,Small,Tier 2,Supermarket Type1,828.921,51-100
FDB37,20.25,Regular,0.022829734,Food,241.0538,OUT027,1985,Medium,Tier 3,Supermarket Type3,4566.7222,201-250
DRF13,12.1,Low_Fat,0.0,Drink,145.1444,OUT013,1987,High,Tier 3,Supermarket Type1,3338.3212,101-150
NCG43,20.2,Non_Edible,0.074541867,Non_Consumable,94.1462,OUT018,2009,Medium,Tier 3,Supermarket Type2,1758.3778,51-100
FDF04,17.5,Low_Fat,0.023876708,Food,258.6304,OUT019,1985,Small,Tier 1,Grocery Store,516.6608,
NCL54,12.6,Non_Edible,0.083221904,Non_Consumable,174.5054,OUT017,2007,Small,Tier 2,Supermarket Type1,2626.581,151-200
FDI14,14.1,Low_Fat,0.089243504,Food,139.2496,OUT027,1985,Medium,Tier 3,Supermarket Type3,1976.0944,101-150
FDD34,7.945,Low_Fat,0.015873285,Food,161.321,OUT035,2004,Small,Tier 2,Supermarket Type1,2773.057,151-200
NCM19,12.65,Non_Edible,0.047237246,Non_Consumable,112.5202,OUT046,1997,Small,Tier 1,Supermarket Type1,787.6414,101-150
